kb_id,year,arabic_name,type,images_count,image_source_folder,extracted_docs_count,reconciliation_status,action,slug,db_status
INF-P-2020-001,2020,محطات تنقية ومعالجة مياه وصرف صحي - بني سويف,water_wastewater,0,01-محطات التنقية للمياه و معالجة الصرف الصحي ببني سويف,47,new_candidate,import_as_new,proj-2020-001,
INF-P-2020-002,2020,أعمال ميكانيكية وكهربائية لتنقية المياه - قبلي قارون,mechanical_electrical,0,01-محطات التنقية للمياه و معالجة الصرف الصحي ببني سويف,128,new_candidate,import_as_new,proj-2020-002,
INF-P-2020-003,2020,محطات تحلية وتنقية متعددة المواقع - مكمل 1,desalination_water,0,01-محطات التنقية للمياه و معالجة الصرف الصحي ببني سويف,100,new_candidate,import_as_new,proj-2020-003,
INF-P-2020-004,2020,محطات معالجة صرف متعددة المواقع - مكمل 2,wastewater,0,01-محطات التنقية للمياه و معالجة الصرف الصحي ببني سويف,117,new_candidate,import_as_new,proj-2020-004,
INF-P-2020-005,2020,محطة معالجة صرف صناعي - شبرا شهاب,industrial_wastewater,0,01-محطات التنقية للمياه و معالجة الصرف الصحي ببني سويف,112,new_candidate,import_as_new,proj-2020-005,
INF-P-2020-006,2020,محطة تحلية لمصنع الرخام,desalination,92,03-محطة تحلية وتنقية المياه ب(الحمام-قبلي قارون-الوادي الجديد-وادي النطرون) عقد 136-2019مكمل 1,140,new_candidate,import_as_new,proj-2020-006,
INF-P-2020-007,2020,محطة تنقية مياه شرب - مزرعة توشكي,water_treatment,0,01-محطات التنقية للمياه و معالجة الصرف الصحي ببني سويف,100,new_candidate,import_as_new,proj-2020-007,
INF-P-2021-001,2021,إنشاء ثلاجات - العامرية,industrial_facility,0,01- انشاء ثلاجات بقطاع العامريه,0,confirmed_duplicate,published_in_production,ameriya-cold-storage,published
INF-P-2021-002,2021,محطة معالجة المدينة الغذائية بالسادات,wastewater,0,02- محطه المعالجه بالمدينة الغذائية بالسادات بطاقة 50م3 (مصنع البسكوت) عقد 120-2020,29,confirmed_duplicate,published_in_production,food-city-treatment,published
INF-P-2021-003,2021,محطة تحلية بالسادات - مصنع المكرونة,desalination,0,02- محطه المعالجه بالمدينة الغذائية بالسادات بطاقة 50م3 (مصنع البسكوت) عقد 120-2020,29,confirmed_duplicate,published_in_production,sadat-city-ro,published
INF-P-2021-004,2021,أعمال تغذية وصرف - مزرعة الماعز قبلي قارون,water_wastewater,0,04-أعمال التغذية و الصرف لمشروع انشاء مزرعة الماعز بقبلي قارون(عقد رقم 48-2021),85,new_candidate,import_as_new,proj-2021-004,
INF-P-2021-005,2021,محطات صرف ومياه - توشكى مكمل,water_wastewater,23,05-محطات الصرف والمياه ف توشكى عقد(115-2020) مكمل,50,confirmed_duplicate,published_in_production,toshka-pumping-stations,published
INF-P-2021-006,2021,محطات مياه وصرف - توشكى مستجدة,water_wastewater,23,05-محطات الصرف والمياه ف توشكى عقد(115-2020) مكمل,60,new_candidate,import_as_new,proj-2021-006,
INF-P-2021-007,2021,أعمال محطات غاز مصر,gas_station,0,04-أعمال التغذية و الصرف لمشروع انشاء مزرعة الماعز بقبلي قارون(عقد رقم 48-2021),13,new_candidate,import_as_new,proj-2021-007,
INF-P-2022-001,2022,محطة رفع - قرية أولاد الشيخ,pumping_station,8,01- محطه رفع بقريه اولاد الشيخ,46,confirmed_duplicate,published_in_production,awlad-el-sheikh-pumping,published
INF-P-2022-002,2022,تعويضات - شبرا شهاب,claims_compensation,0,تعويضات شبرا شهاب,3,new_candidate,import_as_new,proj-2022-002,
